id,target,id,links_cant,cant_failed_links
48,,,1,0
49,,,1,0
50,,,1,0
53,,,1,0
55,,,1,0
56,,,1,0
59,,,4,0
64,,,1,0
65,,,1,0
66,,,1,0
68,,,4,0
73,,,1,0
74,,,1,0
76,,,2,0
77,,,1,1
78,,,1,0
79,,,1,0
80,,,1,0
81,,,1,0
83,,,2,0
86,,,1,0
89,,,1,0
92,,,1,0
93,,,1,0
97,,,1,0
98,,,1,0
100,,,1,0
102,,,2,0
104,,,1,0
109,,,1,0
110,,,1,0
120,,,2,2
121,,,1,0
126,,,1,1
132,,,1,0
134,,,1,0
135,,,1,0
136,,,1,0
144,,,1,0
151,,,2,0
156,,,2,0
163,,,1,0
164,,,2,0
165,,,2,0
168,,,2,0
171,,,2,0
172,,,2,0
173,,,1,1
174,,,2,1
176,,,1,1
178,,,1,0
183,,,1,0
190,,,1,0
196,,,1,0
197,,,1,0
199,,,1,0
204,,,1,0
205,,,1,0
209,,,1,1
210,,,1,0
216,,,1,0
218,,,1,0
219,,,1,1
220,,,1,0
222,,,1,0
225,,,1,0
226,,,1,0
229,,,1,0
231,,,1,1
235,,,1,0
237,,,1,0
243,,,1,0
244,,,1,0
245,,,1,1
247,,,2,1
248,,,2,2
249,,,1,0
251,,,1,0
253,,,1,1
254,,,1,0
256,,,1,1
261,,,1,0
262,,,2,1
264,,,1,0
265,,,1,0
266,,,1,0
268,,,1,1
269,,,2,1
270,,,1,0
271,,,1,0
272,,,1,0
273,,,1,0
276,,,1,1
277,,,2,2
280,,,1,0
281,,,1,0
283,,,2,1
285,,,2,1
287,,,1,1
289,,,1,1
293,,,2,2
302,,,1,0
303,,,1,1
310,,,2,0
313,,,2,0
314,,,1,0
316,,,1,0
322,,,2,0
338,,,2,0
340,,,1,0
344,,,1,0
348,,,1,0
349,,,1,1
353,,,2,1
354,,,1,0
355,,,1,1
356,,,1,1
358,,,1,1
360,,,1,1
363,,,2,1
365,,,1,1
370,,,1,1
372,,,1,1
375,,,1,1
380,,,1,1
381,,,1,1
384,,,1,1
386,,,2,0
390,,,2,1
393,,,1,1
394,,,1,1
404,,,1,1
410,,,1,0
415,,,1,0
420,,,1,0
421,,,1,0
432,,,1,0
435,,,1,0
436,,,2,1
437,,,2,0
438,,,1,1
440,,,1,0
443,,,1,0
445,,,1,0
448,,,1,0
451,,,1,1
453,,,2,0
461,,,1,0
466,,,1,0
467,,,1,0
471,,,1,0
472,,,2,1
474,,,1,0
475,,,1,0
477,,,1,0
480,,,1,0
484,,,2,0
485,,,1,0
489,,,1,0
490,,,1,0
493,,,1,0
496,,,2,0
498,,,2,0
499,,,2,0
501,,,2,0
502,,,2,0
503,,,2,0
506,,,2,1
509,,,1,1
512,,,1,0
514,,,2,0
516,,,2,0
517,,,2,0
518,,,2,0
519,,,2,1
520,,,1,0
521,,,2,0
522,,,2,0
523,,,2,0
526,,,2,0
527,,,1,0
528,,,2,0
530,,,2,0
531,,,2,0
533,,,2,0
535,,,2,0
536,,,1,1
540,,,2,0
542,,,2,0
543,,,2,0
544,,,2,0
546,,,2,0
550,,,2,1
551,,,1,0
556,,,1,0
558,,,2,0
559,,,1,0
560,,,1,0
563,,,2,0
564,,,2,1
565,,,1,0
567,,,1,0
569,,,1,0
570,,,1,0
574,,,1,0
575,,,1,0
576,,,1,0
577,,,1,0
579,,,1,0
580,,,1,0
581,,,2,0
583,,,2,0
584,,,1,0
585,,,1,0
588,,,1,0
589,,,1,0
592,,,1,0
594,,,1,1
599,,,1,0
600,,,1,1
604,,,1,1
606,,,1,1
609,,,1,0
613,,,1,0
614,,,1,0
615,,,2,1
619,,,2,1
621,,,1,0
623,,,1,0
625,,,1,1
630,,,1,0
635,,,1,1
636,,,1,0
642,,,1,0
643,,,1,0
644,,,1,1
646,,,1,0
649,,,1,0
651,,,1,0
655,,,2,0
657,,,1,0
658,,,1,0
659,,,1,0
660,,,1,0
661,,,2,1
662,,,1,0
664,,,1,0
665,,,1,0
667,,,1,0
674,,,2,1
675,,,1,0
677,,,1,0
680,,,2,0
681,,,1,0
682,,,1,0
684,,,1,0
687,,,1,1
688,,,1,0
690,,,1,0
699,,,1,1
704,,,1,0
705,,,1,0
710,,,1,0
712,,,1,0
713,,,1,0
714,,,1,0
717,,,1,0
720,,,1,0
724,,,1,0
725,,,1,0
727,,,1,0
729,,,1,1
730,,,1,0
731,,,1,0
732,,,1,0
734,,,1,0
736,,,1,0
737,,,1,0
738,,,1,0
740,,,1,0
745,,,1,0
746,,,1,1
748,,,1,0
752,,,1,0
753,,,1,0
754,,,1,0
755,,,1,0
758,,,2,1
759,,,1,0
761,,,2,0
762,,,1,0
770,,,1,0
773,,,2,1
774,,,1,1
777,,,1,1
779,,,2,1
781,,,1,0
782,,,1,1
783,,,1,0
784,,,1,0
786,,,1,0
788,,,1,0
790,,,1,0
791,,,1,0
794,,,2,1
796,,,2,0
797,,,2,1
798,,,1,1
799,,,1,0
800,,,1,0
801,,,1,0
802,,,1,0
803,,,1,0
806,,,1,0
810,,,1,0
812,,,1,0
814,,,1,1
815,,,1,0
820,,,1,0
822,,,2,0
826,,,2,0
829,,,1,1
832,,,1,1
833,,,2,0
834,,,1,1
835,,,1,1
836,,,1,1
837,,,1,1
838,,,1,0
840,,,1,0
841,,,1,0
842,,,1,0
843,,,1,1
846,,,1,1
848,,,1,0
849,,,1,0
852,,,1,1
853,,,1,0
856,,,1,0
857,,,1,1
859,,,1,0
860,,,1,0
863,,,1,0
864,,,1,1
866,,,1,0
867,,,1,0
868,,,2,1
870,,,1,1
871,,,1,0
872,,,1,0
873,,,1,1
874,,,1,1
875,,,1,0
876,,,1,0
877,,,1,1
878,,,1,1
882,,,1,0
883,,,1,0
884,,,1,0
888,,,1,0
890,,,1,1
892,,,2,0
895,,,1,0
902,,,1,0
903,,,1,0
926,,,1,0
928,,,1,0
931,,,1,1
934,,,1,0
936,,,1,1
939,,,1,0
945,,,1,0
946,,,1,0
951,,,1,0
952,,,1,0
956,,,1,0
957,,,1,0
960,,,1,0
961,,,1,0
963,,,1,0
964,,,1,0
965,,,1,1
971,,,1,0
974,,,2,1
978,,,1,0
979,,,1,1
981,,,1,0
983,,,1,0
984,,,2,0
985,,,2,0
990,,,1,1
991,,,1,1
997,,,1,0
1002,,,1,1
1004,,,1,0
1015,,,1,0
1020,,,1,1
1021,,,2,0
1022,,,1,0
1029,,,1,1
1035,,,2,0
1050,,,1,0
1093,,,1,0
1098,,,1,0
1139,,,1,0
1141,,,1,0
1142,,,1,1
1146,,,2,0
1149,,,2,0
1152,,,1,0
1153,,,2,1
1157,,,1,1
1162,,,1,0
1168,,,1,0
1174,,,1,0
1175,,,1,0
1179,,,1,1
1181,,,1,1
1182,,,2,0
1188,,,2,0
1191,,,1,1
1202,,,1,1
1203,,,1,1
1204,,,1,1
1208,,,1,0
1217,,,1,1
1223,,,1,1
1224,,,1,1
1225,,,1,1
1232,,,1,0
1235,,,2,0
1242,,,2,1
1264,,,1,0
1270,,,1,0
1271,,,1,0
1278,,,1,0
1279,,,1,0
1283,,,1,0
1287,,,1,0
1289,,,1,0
1290,,,1,0
1300,,,1,0
1305,,,1,0
1312,,,1,0
1316,,,1,0
1318,,,1,0
1324,,,1,0
1326,,,2,0
1328,,,1,1
1346,,,1,0
1348,,,1,0
1349,,,1,0
1350,,,1,0
1351,,,1,0
1352,,,1,0
1353,,,2,0
1356,,,1,0
1379,,,2,0
1380,,,2,0
1383,,,1,0
1384,,,2,0
1385,,,2,0
1388,,,2,1
1389,,,1,0
1390,,,1,0
1391,,,2,0
1393,,,2,1
1394,,,2,0
1396,,,2,0
1399,,,2,0
1401,,,1,0
1402,,,2,0
1405,,,2,1
1406,,,2,0
1407,,,2,0
1408,,,2,0
1409,,,2,0
1412,,,2,0
1414,,,2,0
1415,,,2,0
1418,,,2,0
1419,,,2,0
1420,,,2,0
1422,,,2,0
1443,,,2,0
1445,,,1,0
1449,,,1,0
1456,,,1,0
1459,,,1,0
1470,,,1,0
1473,,,1,0
1480,,,1,0
1482,,,1,0
1483,,,2,0
1484,,,1,0
1486,,,1,0
1488,,,1,1
1491,,,1,0
1495,,,1,0
1498,,,2,1
1499,,,2,1
1501,,,1,1
1502,,,1,0
1506,,,1,0
1507,,,2,1
1508,,,2,1
1511,,,2,1
1519,,,1,0
1520,,,2,1
1521,,,1,0
1522,,,2,1
1524,,,1,1
1525,,,1,0
1526,,,1,1
1527,,,2,1
1530,,,1,0
1531,,,3,0
1532,,,1,1
1533,,,1,0
1534,,,1,0
1535,,,1,0
1544,,,1,0
1545,,,1,0
1546,,,1,0
1547,,,1,0
1554,,,1,0
1555,,,1,0
1556,,,1,0
1569,,,1,1
1574,,,1,0
1575,,,1,0
1577,,,1,0
1585,,,2,0
1587,,,1,1
1590,,,1,0
1597,,,1,0
1600,,,1,0
1603,,,1,0
1604,,,1,0
1610,,,1,0
1611,,,2,1
1614,,,1,0
1617,,,1,0
1619,,,1,0
1621,,,1,0
1622,,,1,0
1623,,,1,0
1631,,,1,0
1633,,,1,1
1636,,,1,0
1638,,,1,0
1639,,,1,0
1644,,,2,0
1646,,,1,1
1647,,,1,0
1648,,,1,0
1649,,,1,0
1650,,,1,0
1652,,,1,0
1654,,,1,0
1657,,,1,0
1658,,,1,0
1660,,,1,1
1661,,,1,0
1662,,,1,1
1663,,,1,0
1669,,,1,0
1670,,,1,0
1671,,,1,1
1673,,,1,0
1675,,,1,0
1676,,,1,0
1677,,,1,0
1679,,,1,1
1684,,,1,0
1686,,,1,0
1687,,,1,0
1688,,,2,1
1689,,,1,0
1690,,,1,0
1692,,,1,0
1693,,,2,1
1694,,,1,0
1699,,,1,1
1700,,,1,0
1701,,,1,0
1702,,,1,0
1705,,,1,0
1706,,,1,0
1707,,,1,0
1709,,,2,0
1710,,,2,1
1715,,,2,0
1716,,,1,0
1718,,,1,0
1719,,,1,1
1737,,,1,0
1755,,,1,0
1761,,,1,0
1762,,,1,0
1768,,,1,0
1770,,,1,0
1771,,,1,1
1772,,,1,1
1773,,,1,1
1774,,,1,0
1775,,,1,1
1776,,,2,1
1780,,,1,0
1786,,,1,0
1789,,,1,0
1798,,,1,0
1799,,,1,1
1802,,,1,1
1803,,,1,0
1804,,,1,0
1808,,,2,0
1810,,,1,0
1814,,,1,0
