,id,#palabras,#palabras_unicas,#caracteres,#stopwords,#puntuacion,#capitalize,#mayusculas,#silabas,promedio_len_word,#caracteres_especiales
0,1,13,13,71,5,1,5,1,19,4.384615384615385,1
1,4,7,7,40,0,1,5,0,10,4.571428571428571,1
2,5,22,20,135,9,3,2,0,27,5.090909090909091,3
3,6,8,8,67,1,2,1,0,17,7.125,2
4,7,16,15,90,6,2,3,0,24,4.5,2
5,8,18,18,112,3,7,5,0,29,5.166666666666667,7
6,10,14,14,97,2,3,4,0,28,5.857142857142857,3
7,13,15,14,61,8,4,1,1,14,3.0,4
8,14,12,11,81,5,1,0,0,17,5.666666666666667,1
9,15,10,10,54,5,4,0,0,17,4.3,4
10,16,9,9,45,3,0,1,0,8,3.888888888888889,0
11,17,27,21,131,1,2,7,19,38,3.814814814814815,2
12,18,12,12,78,1,7,2,0,23,5.333333333333333,7
13,19,7,6,41,1,2,5,0,13,4.714285714285714,2
14,20,11,11,58,3,1,1,1,15,4.090909090909091,1
15,23,3,3,16,1,2,0,0,4,4.0,2
16,24,3,3,15,0,0,1,1,5,3.6666666666666665,0
17,25,3,3,18,1,0,1,0,5,4.666666666666667,0
18,26,5,5,19,2,0,1,0,6,2.6,0
19,28,3,3,30,1,6,1,0,16,8.666666666666666,6
20,31,3,3,24,2,4,0,0,8,6.666666666666667,4
21,32,4,4,19,1,2,1,0,6,3.5,2
22,33,2,2,13,0,0,1,0,4,5.0,0
23,34,4,4,23,1,1,1,0,7,4.5,1
24,36,1,1,10,0,0,0,1,7,8.0,0
25,37,6,6,32,1,4,1,0,9,4.166666666666667,4
26,38,5,5,23,1,1,1,1,5,3.4,1
27,39,3,3,20,1,0,1,0,5,5.333333333333333,0
28,40,2,2,11,0,2,1,0,5,4.0,2
29,41,4,4,20,1,1,1,0,8,3.75,1
30,44,2,2,10,0,1,1,0,1,3.5,1
31,48,3,3,26,0,0,2,0,6,7.333333333333333,0
32,49,9,9,46,2,3,1,1,10,4.0,3
33,50,8,8,61,1,4,2,1,16,6.5,4
34,52,7,7,36,3,1,2,0,9,4.0,1
35,53,12,12,55,0,0,1,9,14,3.5,0
36,54,20,20,112,6,3,1,2,28,4.55,3
37,55,7,7,34,1,1,4,1,10,3.7142857142857144,1
38,56,16,16,113,2,5,8,3,25,5.8125,5
39,57,5,5,24,2,1,3,1,8,3.6,1
40,59,4,4,24,1,2,1,0,3,4.75,2
