,target,id,links_cant,cant_failed_links
0,1,1,,
1,1,4,,
2,1,5,,
3,1,6,,
4,1,7,,
5,1,8,,
6,1,10,,
7,1,13,,
8,1,14,,
9,1,15,,
10,1,16,,
11,1,17,,
12,1,18,,
13,1,19,,
14,1,20,,
15,0,23,,
16,0,24,,
17,0,25,,
18,0,26,,
19,0,28,,
20,0,31,,
21,0,32,,
22,0,33,,
23,0,34,,
24,0,36,,
25,0,37,,
26,0,38,,
27,0,39,,
28,0,40,,
29,0,41,,
30,0,44,,
31,1,48,,
32,0,49,,
33,1,50,,
34,0,52,,
35,0,53,,
36,0,54,,
37,1,55,,
38,1,56,,
39,0,57,,
40,0,59,,
41,0,61,,
42,0,62,,
43,0,63,,
44,0,64,,
45,0,65,,
46,1,66,,
47,0,67,,
48,0,68,1.0,0.0
49,0,71,1.0,0.0
50,1,73,1.0,0.0
51,1,74,,
52,0,76,,
53,1,77,1.0,0.0
54,0,78,,
55,1,79,1.0,0.0
56,1,80,1.0,0.0
57,0,81,,
58,0,82,,
59,1,83,4.0,0.0
60,0,85,,
61,0,86,,
62,0,89,,
63,1,91,,
64,0,92,1.0,0.0
65,1,93,1.0,0.0
66,0,95,1.0,0.0
67,0,96,,
68,1,97,4.0,0.0
69,1,98,,
70,0,100,,
71,0,102,,
72,1,104,,
73,1,105,1.0,0.0
74,1,107,1.0,0.0
75,0,109,,
76,0,110,2.0,0.0
77,1,112,1.0,1.0
78,1,113,1.0,0.0
79,1,114,1.0,0.0
80,0,117,1.0,0.0
81,1,118,1.0,0.0
82,0,119,,
83,1,120,2.0,0.0
84,1,121,,
85,1,126,,
86,1,128,1.0,0.0
87,1,129,,
88,1,130,,
89,1,131,1.0,0.0
90,0,132,,
91,1,133,,
92,1,134,1.0,0.0
93,1,135,1.0,0.0
94,1,136,,
95,1,137,,
96,0,138,,
97,1,139,1.0,0.0
98,0,141,1.0,0.0
99,1,143,,
100,1,144,1.0,0.0
101,0,145,,
102,0,146,2.0,0.0
103,0,149,,
104,0,151,1.0,0.0
105,0,153,,
106,0,156,,
107,0,157,,
108,0,158,,
109,0,159,1.0,0.0
110,0,160,1.0,0.0
111,0,161,,
112,0,162,,
113,0,163,,
114,0,164,,
115,0,165,,
116,0,168,,
117,0,170,,
118,0,171,,
119,0,172,,
120,0,173,2.0,2.0
121,0,174,1.0,0.0
122,0,175,,
123,0,176,,
124,0,178,,
125,0,180,,
126,0,182,1.0,1.0
127,0,183,,
128,0,184,,
129,0,185,,
130,0,187,,
131,0,190,,
132,0,191,1.0,0.0
133,0,193,,
134,0,194,1.0,0.0
135,0,195,1.0,0.0
136,1,196,1.0,0.0
137,1,197,,
138,0,198,,
139,1,199,,
140,1,201,,
141,1,203,,
142,1,204,,
143,1,205,,
144,1,208,1.0,0.0
145,1,209,,
146,1,210,,
147,1,211,,
148,1,212,,
149,0,213,,
150,0,215,,
151,1,216,2.0,0.0
152,1,218,,
153,1,219,,
154,1,220,,
155,1,221,,
156,1,222,2.0,0.0
157,1,225,,
158,1,226,,
159,1,229,,
160,1,231,,
161,1,232,,
162,1,235,,
163,1,237,1.0,0.0
164,1,238,2.0,0.0
165,1,240,2.0,0.0
166,0,241,,
167,0,242,,
168,1,243,2.0,0.0
169,1,244,,
170,1,245,,
171,1,246,2.0,0.0
172,1,247,2.0,0.0
173,1,248,1.0,1.0
174,1,249,2.0,1.0
175,0,251,,
176,1,252,1.0,1.0
177,1,253,,
178,0,254,1.0,0.0
179,0,256,,
180,1,258,,
181,0,260,,
182,1,261,,
183,1,262,1.0,0.0
184,0,263,,
185,0,264,,
186,0,265,,
187,1,266,,
188,0,267,,
189,0,268,,
190,1,269,1.0,0.0
191,1,270,,
192,0,271,,
193,0,272,,
194,0,273,,
195,1,274,,
196,1,276,1.0,0.0
197,1,277,1.0,0.0
198,0,279,,
199,0,280,1.0,0.0
200,0,281,,
201,1,283,,
202,1,285,,
203,1,287,,
204,1,289,1.0,0.0
205,0,290,1.0,0.0
206,0,291,,
207,1,293,,
208,0,294,,
209,0,296,1.0,1.0
210,0,297,1.0,0.0
211,0,298,,
212,0,299,,
213,0,301,,
214,1,302,,
215,0,303,,
216,0,307,1.0,0.0
217,0,309,,
218,1,310,1.0,0.0
219,0,312,1.0,1.0
220,1,313,1.0,0.0
221,0,314,,
222,0,315,1.0,0.0
223,0,316,,
224,1,318,,
225,1,320,1.0,0.0
226,0,321,1.0,0.0
227,1,322,,
228,0,327,,
229,1,328,1.0,0.0
230,1,329,,
