,id,target,#palabras,#palabras_unicas,#caracteres,#stopwords,#puntuacion,#capitalize,#mayusculas,#silabas,promedio_len_word,#caracteres_especiales,#palabras_binned,#palabras_unicas_binned,#caracteres_binned,#stopwords_binned,#puntuacion_binned,#capitalize_binned,#mayusculas_binned,#silabas_binned,#caracteres_especiales_binned
0,1,True,13,13,71,5,1,5,1,19,4.384615384615385,1,1,1,1,1,0,2,0,1,0
1,4,True,7,7,40,0,1,5,0,10,4.571428571428571,1,0,0,0,0,0,2,0,0,0
2,5,True,22,20,135,9,3,2,0,27,5.090909090909091,3,3,3,4,2,1,1,0,3,1
3,6,True,8,8,67,1,2,1,0,17,7.125,2,0,0,1,0,0,0,0,1,0
4,7,True,16,15,90,6,2,3,0,24,4.5,2,2,2,2,2,0,1,0,2,0
5,8,True,18,18,112,3,7,5,0,29,5.166666666666667,7,2,3,3,1,2,2,0,3,2
6,10,True,14,14,97,2,3,4,0,28,5.857142857142857,3,1,2,3,0,1,1,0,3,1
7,13,True,15,14,61,8,4,1,1,14,3.0,4,2,2,1,2,1,0,0,0,1
8,14,True,12,11,81,5,1,0,0,17,5.666666666666667,1,1,1,2,1,0,0,0,1,0
9,15,True,10,10,54,5,4,0,0,17,4.3,4,0,1,0,1,1,0,0,1,1
10,16,True,9,9,45,3,0,1,0,8,3.888888888888889,0,0,0,0,1,0,0,0,0,0
11,17,True,27,21,131,1,2,7,19,38,3.814814814814815,2,3,3,4,0,0,2,0,3,0
12,18,True,12,12,78,1,7,2,0,23,5.333333333333333,7,1,1,2,0,2,1,0,2,2
13,19,True,7,6,41,1,2,5,0,13,4.714285714285714,2,0,0,0,0,0,2,0,0,0
14,20,True,11,11,58,3,1,1,1,15,4.090909090909091,1,1,1,1,1,0,0,0,1,0
15,23,False,3,3,16,1,2,0,0,4,4.0,2,0,0,0,0,0,0,0,0,0
16,24,False,3,3,15,0,0,1,1,5,3.6666666666666665,0,0,0,0,0,0,0,0,0,0
17,25,False,3,3,18,1,0,1,0,5,4.666666666666667,0,0,0,0,0,0,0,0,0,0
18,26,False,5,5,19,2,0,1,0,6,2.6,0,0,0,0,0,0,0,0,0,0
19,28,False,3,3,30,1,6,1,0,16,8.666666666666666,6,0,0,0,0,2,0,0,1,2
20,31,False,3,3,24,2,4,0,0,8,6.666666666666667,4,0,0,0,0,1,0,0,0,1
21,32,False,4,4,19,1,2,1,0,6,3.5,2,0,0,0,0,0,0,0,0,0
22,33,False,2,2,13,0,0,1,0,4,5.0,0,0,0,0,0,0,0,0,0,0
23,34,False,4,4,23,1,1,1,0,7,4.5,1,0,0,0,0,0,0,0,0,0
24,36,False,1,1,10,0,0,0,1,7,8.0,0,0,0,0,0,0,0,0,0,0
25,37,False,6,6,32,1,4,1,0,9,4.166666666666667,4,0,0,0,0,1,0,0,0,1
26,38,False,5,5,23,1,1,1,1,5,3.4,1,0,0,0,0,0,0,0,0,0
27,39,False,3,3,20,1,0,1,0,5,5.333333333333333,0,0,0,0,0,0,0,0,0,0
28,40,False,2,2,11,0,2,1,0,5,4.0,2,0,0,0,0,0,0,0,0,0
29,41,False,4,4,20,1,1,1,0,8,3.75,1,0,0,0,0,0,0,0,0,0
30,44,False,2,2,10,0,1,1,0,1,3.5,1,0,0,0,0,0,0,0,0,0
31,48,True,3,3,26,0,0,2,0,6,7.333333333333333,0,0,0,0,0,0,1,0,0,0
32,49,False,9,9,46,2,3,1,1,10,4.0,3,0,0,0,0,1,0,0,0,1
33,50,True,8,8,61,1,4,2,1,16,6.5,4,0,0,1,0,1,1,0,1,1
34,52,False,7,7,36,3,1,2,0,9,4.0,1,0,0,0,1,0,1,0,0,0
35,53,False,12,12,55,0,0,1,9,14,3.5,0,1,1,1,0,0,0,0,0,0
36,54,False,20,20,112,6,3,1,2,28,4.55,3,3,3,3,2,1,0,0,3,1
37,55,True,7,7,34,1,1,4,1,10,3.7142857142857144,1,0,0,0,0,0,1,0,0,0
38,56,True,16,16,113,2,5,8,3,25,5.8125,5,2,2,3,0,2,2,0,2,2
39,57,False,5,5,24,2,1,3,1,8,3.6,1,0,0,0,0,0,1,0,0,0
40,59,False,4,4,24,1,2,1,0,3,4.75,2,0,0,0,0,0,0,0,0,0
41,61,False,11,10,63,6,2,0,0,20,4.636363636363637,2,1,1,1,2,0,0,0,2,0
42,62,False,24,23,122,7,3,4,1,30,4.041666666666667,3,3,3,4,2,1,1,0,3,1
43,63,False,5,5,30,0,4,0,4,9,4.8,4,0,0,0,0,1,0,0,0,1
44,64,False,13,12,71,5,4,3,1,17,4.384615384615385,4,1,1,1,1,1,1,0,1,1
45,65,False,15,15,75,5,2,3,1,19,3.933333333333333,2,2,2,1,1,0,1,0,1,0
46,66,True,12,12,76,4,1,4,0,20,5.25,1,1,1,2,1,0,1,0,2,0
47,67,False,10,9,65,3,0,1,0,11,5.4,0,0,0,1,1,0,0,0,0,0
48,68,False,4,4,24,1,2,1,0,3,4.75,2,0,0,0,0,0,0,0,0,0
49,71,False,27,25,140,8,5,3,1,26,4.148148148148148,5,3,3,4,2,2,1,0,3,2
50,73,True,8,8,52,1,1,3,0,11,5.375,1,0,0,0,0,0,1,0,0,0
51,74,True,10,10,54,1,0,1,0,13,4.3,0,0,1,0,0,0,0,0,0,0
52,76,False,15,15,87,3,4,7,2,17,4.666666666666667,4,2,2,2,1,1,2,0,1,1
53,77,True,9,9,72,0,1,8,0,19,6.888888888888889,1,0,0,1,0,0,2,0,1,0
54,78,False,13,13,90,3,10,2,0,19,5.846153846153846,10,1,1,2,1,2,1,0,1,2
55,79,True,18,17,114,5,2,5,0,26,5.277777777777778,2,2,2,3,1,0,2,0,3,0
56,80,True,12,12,76,0,5,1,11,18,5.25,5,1,1,2,0,2,0,0,1,2
57,81,False,20,17,97,7,0,2,0,24,3.8,0,3,2,3,2,0,1,0,2,0
58,82,False,24,24,121,8,4,4,3,24,4.0,4,3,3,4,2,1,1,0,2,1
59,83,True,14,14,94,4,4,4,0,23,5.642857142857143,4,1,2,2,1,1,1,0,2,1
60,85,False,17,16,87,5,1,1,0,17,4.0588235294117645,1,2,2,2,1,0,0,0,1,0
61,86,False,17,17,114,5,5,5,0,24,5.588235294117647,5,2,2,3,1,2,2,0,2,2
62,89,False,14,13,76,0,6,8,0,11,4.285714285714286,6,1,1,2,0,2,2,0,0,2
63,91,True,21,21,119,10,3,2,0,26,4.619047619047619,3,3,3,4,2,1,1,0,3,1
64,92,False,9,9,59,0,6,5,1,14,5.333333333333333,6,0,0,1,0,2,2,0,0,2
